2018-02-04 22:37:43 INFO  SparkContext:59 - Running Spark version 1.5.2
2018-02-04 22:37:44 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-02-04 22:37:44 WARN  Utils:71 - Your hostname, hadoop resolves to a loopback address: 127.0.0.1; using 10.229.51.168 instead (on interface eth0)
2018-02-04 22:37:44 WARN  Utils:71 - Set SPARK_LOCAL_IP if you need to bind to another address
2018-02-04 22:37:44 INFO  SecurityManager:59 - Changing view acls to: root
2018-02-04 22:37:44 INFO  SecurityManager:59 - Changing modify acls to: root
2018-02-04 22:37:44 INFO  SecurityManager:59 - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(root); users with modify permissions: Set(root)
2018-02-04 22:37:45 INFO  Slf4jLogger:80 - Slf4jLogger started
2018-02-04 22:37:45 INFO  Remoting:74 - Starting remoting
2018-02-04 22:37:46 INFO  Remoting:74 - Remoting started; listening on addresses :[akka.tcp://sparkDriver@10.229.51.168:35566]
2018-02-04 22:37:46 INFO  Utils:59 - Successfully started service 'sparkDriver' on port 35566.
2018-02-04 22:37:46 INFO  SparkEnv:59 - Registering MapOutputTracker
2018-02-04 22:37:46 INFO  SparkEnv:59 - Registering BlockManagerMaster
2018-02-04 22:37:46 INFO  DiskBlockManager:59 - Created local directory at /tmp/blockmgr-a6ddc965-e910-4a7e-85f5-79f45a571bc5
2018-02-04 22:37:46 INFO  MemoryStore:59 - MemoryStore started with capacity 942.8 MB
2018-02-04 22:37:46 INFO  HttpFileServer:59 - HTTP File server directory is /tmp/spark-9dae561c-2e8f-4afa-864a-1ca2be0cc5e1/httpd-81a473b5-4bef-41f1-9d3c-a5037983ef32
2018-02-04 22:37:46 INFO  HttpServer:59 - Starting HTTP Server
2018-02-04 22:37:46 INFO  Server:272 - jetty-8.y.z-SNAPSHOT
2018-02-04 22:37:46 INFO  AbstractConnector:338 - Started SocketConnector@0.0.0.0:39320
2018-02-04 22:37:46 INFO  Utils:59 - Successfully started service 'HTTP file server' on port 39320.
2018-02-04 22:37:46 INFO  SparkEnv:59 - Registering OutputCommitCoordinator
2018-02-04 22:37:46 INFO  Server:272 - jetty-8.y.z-SNAPSHOT
2018-02-04 22:37:46 INFO  AbstractConnector:338 - Started SelectChannelConnector@0.0.0.0:4040
2018-02-04 22:37:46 INFO  Utils:59 - Successfully started service 'SparkUI' on port 4040.
2018-02-04 22:37:46 INFO  SparkUI:59 - Started SparkUI at http://10.229.51.168:4040
2018-02-04 22:37:46 WARN  MetricsSystem:71 - Using default name DAGScheduler for source because spark.app.id is not set.
