2003-1-1,200301,2003,1,1,3,1,1,1,1
2003-1-2,200301,2003,1,2,4,1,1,1,1
2003-1-3,200301,2003,1,3,5,1,1,1,1
2003-1-4,200301,2003,1,4,6,1,1,1,1
2003-1-5,200301,2003,1,5,7,1,1,1,1
2003-1-6,200301,2003,1,6,1,2,1,1,1
2003-1-7,200301,2003,1,7,2,2,1,1,1
2003-1-8,200301,2003,1,8,3,2,1,1,1
2003-1-9,200301,2003,1,9,4,2,1,1,1
2003-1-10,200301,2003,1,10,5,2,1,1,1
2003-1-11,200301,2003,1,11,6,2,1,2,1
2003-1-12,200301,2003,1,12,7,2,1,2,1
2003-1-13,200301,2003,1,13,1,3,1,2,1
2003-1-14,200301,2003,1,14,2,3,1,2,1
2003-1-15,200301,2003,1,15,3,3,1,2,1
2003-1-16,200301,2003,1,16,4,3,1,2,2
2003-1-17,200301,2003,1,17,5,3,1,2,2
2003-1-18,200301,2003,1,18,6,3,1,2,2
2003-1-19,200301,2003,1,19,7,3,1,2,2
2003-1-20,200301,2003,1,20,1,4,1,2,2
2003-1-21,200301,2003,1,21,2,4,1,3,2
2003-1-22,200301,2003,1,22,3,4,1,3,2
2003-1-23,200301,2003,1,23,4,4,1,3,2
2003-1-24,200301,2003,1,24,5,4,1,3,2
2003-1-25,200301,2003,1,25,6,4,1,3,2
2003-1-26,200301,2003,1,26,7,4,1,3,2
2003-1-27,200301,2003,1,27,1,5,1,3,2
2003-1-28,200301,2003,1,28,2,5,1,3,2
2003-1-29,200301,2003,1,29,3,5,1,3,2
2003-1-30,200301,2003,1,30,4,5,1,3,2
2003-1-31,200301,2003,1,31,5,5,1,3,2
2003-2-1,200302,2003,2,1,6,5,1,4,3
2003-2-2,200302,2003,2,2,7,5,1,4,3
2003-2-3,200302,2003,2,3,1,6,1,4,3
2003-2-4,200302,2003,2,4,2,6,1,4,3
2003-2-5,200302,2003,2,5,3,6,1,4,3
2003-2-6,200302,2003,2,6,4,6,1,4,3
2003-2-7,200302,2003,2,7,5,6,1,4,3
2003-2-8,200302,2003,2,8,6,6,1,4,3
2003-2-9,200302,2003,2,9,7,6,1,4,3
2003-2-10,200302,2003,2,10,1,7,1,4,3
2003-2-11,200302,2003,2,11,2,7,1,5,3
2003-2-12,200302,2003,2,12,3,7,1,5,3
2003-2-13,200302,2003,2,13,4,7,1,5,3
2003-2-14,200302,2003,2,14,5,7,1,5,3
